image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"104010","104010-3",0.0470139,0.955959,0.841871,0.0578139,0.0923893,209.632,0.952986,765.79,319.33,0.116708,0.771594,0.763514,23.6276,0.387452,0.437156,503,306.96,322.933
"104010","104010-4",0.0859515,0.910046,0.84973,0.122166,0.171016,62.5068,0.914048,765.79,319.33,0.116708,0.771594,0.742467,23.6276,0.387452,0.437156,503,306.96,322.933
"104055","104055-0",0.0297148,0.950233,0.898383,0.0662794,0.0582898,9.40548,0.970285,313.052,382.679,0.105354,0.938106,0.605923,15.5489,0.426435,0.397193,500,308.802,265.904
"104055","104055-1",0.0304078,0.946347,0.888329,0.0627747,0.0607898,63.3,0.969592,313.052,382.679,0.105354,0.938106,0.609916,15.5489,0.426435,0.397193,500,308.802,265.904
"104055","104055-2",0.0262822,0.952293,0.917948,0.06306,0.0525644,2.21551,0.973718,313.052,382.679,0.105354,0.938106,0.544389,15.5489,0.426435,0.397193,500,308.802,265.904
"104055","104055-3",0.035343,0.934022,0.901111,0.0742972,0.0690928,11.0857,0.964657,313.052,382.679,0.105354,0.938106,0.57745,15.5489,0.426435,0.397193,500,308.802,265.904
"104055","104055-4",0.0262628,0.959799,0.917737,0.0575282,0.0524932,3.37369,0.973737,313.052,382.679,0.105354,0.938106,0.539439,15.5489,0.426435,0.397193,500,308.802,265.904
"105027","105027-0",0.0239053,0.97127,0.964245,0.0580548,0.0477588,5.49201,0.976095,388.504,277.397,0.111627,0.84088,0.338299,16.2125,0.389933,0.186559,502,307.572,303.615
"105027","105027-1",0.0281669,0.966749,0.929844,0.0708804,0.0563338,14.4297,0.971833,388.504,277.397,0.111627,0.84088,0.440237,16.2125,0.389933,0.186559,502,307.572,303.615
"105027","105027-2",0.0253237,0.971308,0.950572,0.0619921,0.0506473,1.40426,0.974676,388.504,277.397,0.111627,0.84088,0.356976,16.2125,0.389933,0.186559,502,307.572,303.615
"105027","105027-3",0.0256605,0.971127,0.937847,0.0572959,0.0513209,1.30175,0.97434,388.504,277.397,0.111627,0.84088,0.422074,16.2125,0.389933,0.186559,502,307.572,303.615
"105027","105027-4",0.0244688,0.971276,0.950339,0.057078,0.0489375,45.6958,0.975531,388.504,277.397,0.111627,0.84088,0.387617,16.2125,0.389933,0.186559,502,307.572,303.615
"106005","106005-0",0.0189507,0.957928,0.976406,0.0595139,0.0379013,2.06866,0.981049,267.828,482.652,0.147716,0.975135,0.359554,13.592,0.374875,0.194053,500,308.802,265.622
"106005","106005-1",0.0131994,0.974236,0.953405,0.0374444,0.0263988,260.574,0.986801,267.828,482.652,0.147716,0.975135,0.349739,13.592,0.374875,0.194053,500,308.802,265.622
"106005","106005-2",0.0125971,0.974262,0.977406,0.0380669,0.0251941,0.323371,0.987403,267.828,482.652,0.147716,0.975135,0.283454,13.592,0.374875,0.194053,500,308.802,265.622
"106005","106005-3",0.0123963,0.969935,0.979054,0.0476861,0.0247926,10.9625,0.987604,267.828,482.652,0.147716,0.975135,0.304718,13.592,0.374875,0.194053,500,308.802,265.622
"106005","106005-4",0.0393715,0.941101,0.87463,0.0679512,0.0786912,85.0445,0.960629,267.828,482.652,0.147716,0.975135,0.645432,13.592,0.374875,0.194053,500,308.802,265.622
"106047","106047-0",0.0392355,0.974599,0.864317,0.0560806,0.078471,0.397236,0.960765,480.2,229.55,0.171648,0.885376,0.818216,18.7339,0.345186,0.210744,500,308.802,220.605
"106047","106047-1",0.0106346,0.986017,0.914148,0.0251897,0.0212693,0.347563,0.989365,480.2,229.55,0.171648,0.885376,0.559018,18.7339,0.345186,0.210744,500,308.802,220.605
"106047","106047-2",0.0107383,0.985991,0.927326,0.0241475,0.0214765,0.366644,0.989262,480.2,229.55,0.171648,0.885376,0.537175,18.7339,0.345186,0.210744,500,308.802,220.605
"106047","106047-3",0.0114831,0.980285,0.951233,0.0337094,0.0229662,121.574,0.988517,480.2,229.55,0.171648,0.885376,0.414774,18.7339,0.345186,0.210744,500,308.802,220.605
"106047","106047-4",0.0256799,0.976367,0.918402,0.0513535,0.0513468,32.2796,0.97432,480.2,229.55,0.171648,0.885376,0.550293,18.7339,0.345186,0.210744,500,308.802,220.605
"107014","107014-0",0.0455956,0.955182,0.90786,0.0795217,0.0908543,28.3465,0.954404,402.393,259.273,0.103166,0.893106,0.553531,18.0146,0.402187,0.180875,501,308.186,285.877
"107014","107014-1",0.0755954,0.930622,0.846945,0.0854637,0.150822,46.7917,0.924405,402.393,259.273,0.103166,0.893106,0.765358,18.0146,0.402187,0.180875,501,308.186,285.877
"107014","107014-2",0.0403495,0.963413,0.898617,0.0746904,0.080699,4.50134,0.959651,402.393,259.273,0.103166,0.893106,0.56941,18.0146,0.402187,0.180875,501,308.186,285.877
"107014","107014-3",0.0662755,0.930208,0.892571,0.114683,0.132551,80.947,0.933725,402.393,259.273,0.103166,0.893106,0.587192,18.0146,0.402187,0.180875,501,308.186,285.877
"107014","107014-4",0.0914502,0.917326,0.831009,0.101825,0.179895,5.77764,0.90855,402.393,259.273,0.103166,0.893106,0.819349,18.0146,0.402187,0.180875,501,308.186,285.877
"107045","107045-0",0.0404402,0.937144,0.880451,0.0770299,0.0808026,23.7732,0.95956,875.919,412.439,0.110874,0.800932,0.693708,26.5668,0.3956,0.183887,502,307.572,330.121
"107045","107045-1",0.044501,0.931445,0.861085,0.0752852,0.0866704,34.5657,0.955499,875.919,412.439,0.110874,0.800932,0.750772,26.5668,0.3956,0.183887,502,307.572,330.121
"107045","107045-2",0.0409712,0.934968,0.874278,0.0836461,0.0798181,11.5778,0.959029,875.919,412.439,0.110874,0.800932,0.715683,26.5668,0.3956,0.183887,502,307.572,330.121
"107045","107045-3",0.0751226,0.895486,0.88038,0.131947,0.150245,47.029,0.924877,875.919,412.439,0.110874,0.800932,0.649684,26.5668,0.3956,0.183887,502,307.572,330.121
"107045","107045-4",0.0451487,0.935169,0.892949,0.0752217,0.0899929,3.96035,0.954851,875.919,412.439,0.110874,0.800932,0.634969,26.5668,0.3956,0.183887,502,307.572,330.121
"107072","107072-0",0.0387238,0.944754,0.92719,0.0912295,0.0752197,79.6502,0.961276,646.891,202.032,0.103456,0.89782,0.453168,23.0509,0.400049,0.181842,502,307.572,260.037
"107072","107072-1",0.031062,0.965104,0.92441,0.0703547,0.0608804,7.37624,0.968938,646.891,202.032,0.103456,0.89782,0.45152,23.0509,0.400049,0.181842,502,307.572,260.037
"107072","107072-2",0.0714115,0.901121,0.902128,0.124734,0.141074,50.6674,0.928589,646.891,202.032,0.103456,0.89782,0.584199,23.0509,0.400049,0.181842,502,307.572,260.037
"107072","107072-3",0.0481538,0.95728,0.857536,0.0718307,0.0953945,65.3034,0.951846,646.891,202.032,0.103456,0.89782,0.731078,23.0509,0.400049,0.181842,502,307.572,260.037
"107072","107072-4",0.0446888,0.957034,0.906227,0.0812319,0.0877844,69.5982,0.955311,646.891,202.032,0.103456,0.89782,0.572499,23.0509,0.400049,0.181842,502,307.572,260.037
"108004","108004-0",0.0285814,0.979754,0.874324,0.0297992,0.0571628,0.475179,0.971419,1182.36,245.001,0.0860037,0.722538,0.681404,30.8056,0.426837,0.17043,502,307.572,323.41
"108004","108004-1",0.0272278,0.979288,0.89447,0.0325394,0.0544556,30.4289,0.972772,1182.36,245.001,0.0860037,0.722538,0.609084,30.8056,0.426837,0.17043,502,307.572,323.41
"108004","108004-2",0.0289959,0.97921,0.902982,0.0367892,0.0579919,3.21322,0.971004,1182.36,245.001,0.0860037,0.722538,0.581285,30.8056,0.426837,0.17043,502,307.572,323.41
"108004","108004-3",0.0577522,0.948252,0.914593,0.155812,0.113633,39.7171,0.942248,1182.36,245.001,0.0860037,0.722538,0.50894,30.8056,0.426837,0.17043,502,307.572,323.41
